Date,pressure_station,pressure_sea,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,health_index,Female,Male,Mos Count
2017-05-09,93.29035714285713,101.13761904761905,23.577380952380953,10.803571428571429,36.64285714285714,43.601190476190474,1.2452380952380955,14.760119047619048,0.0,26.125,2.7375000000000003,26.0,0.0,26
2017-05-16,93.03797619047619,100.91666666666667,14.613095238095239,14.202380952380953,32.82857142857143,65.79761904761905,3.723214285714286,10.885714285714288,0.0,0.0,2.398214285714286,23.0,6.0,29
2017-05-23,93.77845238095237,101.66011904761903,20.345238095238095,10.875,30.083333333333332,45.613095238095234,2.0845238095238092,15.286309523809525,0.0,26.5,2.4630952380952382,198.0,325.0,523
2017-05-30,93.31738095238096,101.14226190476191,20.892857142857142,16.077380952380953,34.324829931972786,47.66666666666667,3.2571428571428576,15.589880952380952,0.0,25.0,2.4595238095238092,150.0,213.0,363
2017-06-06,93.22190476190475,101.00952380952381,22.99404761904762,13.238095238095239,33.115584415584415,54.5,7.428571428571429,17.76547619047619,0.0,26.05,2.8529761904761903,526.0,1130.0,1656
2017-06-13,92.7992857142857,100.56666666666668,18.101190476190474,14.309523809523808,31.65838779956427,61.452380952380956,8.191071428571428,16.723214285714285,0.0,25.864285714285714,2.543333333333333,1261.0,1708.0,2969
2017-06-20,93.19440476190478,101.01845238095237,23.720238095238095,11.238095238095239,35.1625,62.25,7.318452380952381,15.48154761904762,0.0,0.0,2.2759523809523805,895.0,977.0,1872
2017-06-27,93.71839285714286,101.5672619047619,24.952380952380953,18.089285714285715,38.91348334205477,53.613095238095234,6.016666666666666,16.300595238095237,0.0,26.964285714285715,2.364285714285714,332.0,437.0,769
2017-07-04,93.42142857142858,101.21964285714286,23.494047619047617,11.327380952380953,32.79523809523809,61.857142857142854,10.094047619047618,18.433333333333334,0.0,25.851495726495727,2.2833333333333337,1074.0,705.0,1779
2017-07-11,93.83892857142857,101.6297619047619,16.732142857142858,11.255952380952381,29.5952380952381,58.98809523809524,11.43809523809524,20.47083333333333,0.0,27.35071105365223,2.870833333333333,1833.0,420.0,2253
2017-07-18,93.6229761904762,101.44642857142857,20.785714285714285,12.922619047619047,34.15002970885324,65.99404761904762,10.988095238095237,17.948809523809523,0.0,27.66551226551227,2.7039682539682537,1319.0,323.0,1642
2017-07-25,93.48160714285713,101.30375000000002,22.797619047619047,11.720238095238093,35.74305555555556,70.5297619047619,10.839880952380952,17.002380952380953,0.0,25.77444444444444,2.6590838509316765,692.0,289.0,981
2017-08-01,94.03696428571429,101.86785714285713,20.773809523809522,9.208333333333332,32.833333333333336,65.625,11.761904761904763,18.978571428571424,0.0,27.026689976689976,2.5565476190476195,553.0,174.0,727
2017-08-08,94.2327380952381,102.12797619047622,19.77018633540373,7.148809523809524,48.0,74.76785714285714,11.440476190476192,16.56369047619048,0.0,25.365079365079367,2.1517857142857144,507.0,204.0,711
2017-08-15,93.51988095238096,101.31428571428572,20.273809523809522,12.81547619047619,38.327948717948715,56.648809523809526,9.289880952380953,18.876785714285713,0.0,26.545714285714286,3.0660714285714286,1233.0,879.0,2112
2017-08-22,93.57892857142858,101.41309523809525,25.333333333333336,11.279761904761903,32.080555555555556,56.511904761904766,7.629761904761905,17.04404761904762,0.0,26.4375,2.607142857142857,2156.0,1792.0,3948
2017-08-29,93.66000000000001,101.4720238095238,17.767857142857142,10.398809523809524,32.82857142857143,56.720238095238095,8.805952380952382,18.50654761904762,0.0,26.504761904761903,2.2828511496131636,2407.0,1448.0,3855
2017-09-05,93.88940476190477,101.75297619047619,23.011904761904763,9.880952380952381,31.6875,58.68452380952381,7.314880952380952,16.261904761904763,0.0,25.766666666666666,2.5002587991718426,405.0,388.0,793
2017-09-12,93.40205486542443,101.20533126293996,23.483436853002072,10.437370600414079,31.752564102564104,54.15139751552795,6.329684265010352,17.30468426501035,0.0,26.833333333333332,3.1726190476190474,874.0,951.0,1825
2017-09-19,93.42101190476191,101.37321428571428,18.273809523809522,12.601190476190478,34.17604617604618,74.23214285714286,3.4154761904761903,8.302380952380952,0.0,0.0,1.913095238095238,118.0,53.0,171
2017-09-26,93.41732142857143,101.37565476190477,24.714285714285715,10.130952380952381,29.03,76.26190476190477,4.333333333333333,8.85595238095238,0.0,0.0,1.6089464733261725,186.0,106.0,292
2018-05-15,93.67083333333333,101.55369047619047,21.029503105590063,12.607142857142858,30.66025641025641,44.22619047619048,0.009523809523809466,14.50952380952381,0.0,25.0,2.856547619047619,84.0,89.0,173
2018-05-22,93.79297619047621,101.64464285714287,16.494047619047617,14.92261904761905,33.08672438672439,45.67857142857142,3.5434523809523806,16.825,0.0,25.428571428571427,3.2077380952380947,463.0,797.0,1260
2018-05-29,93.2042857142857,100.96309523809522,21.363095238095237,12.672619047619047,31.555612244897958,39.6904761904762,3.8839285714285716,19.18988095238095,0.0,25.759577922077924,3.198214285714286,1099.0,2306.0,3405
2018-06-05,93.4355357142857,101.32398809523808,17.026138716356105,11.392857142857142,30.56727272727273,62.297619047619044,4.224404761904762,12.463690476190477,0.0,0.0,2.2246894409937887,969.0,1943.0,2912
2018-06-12,92.68142857142858,100.44761904761903,21.172619047619044,18.327380952380953,40.89995348219033,51.54761904761905,4.624404761904762,16.0875,0.0,25.425925925925924,2.8720238095238093,3301.0,6637.0,9938
2018-06-19,93.58172619047619,101.4154761904762,21.726190476190478,9.553571428571429,28.6,52.82142857142856,6.170238095238096,17.238095238095237,0.0,25.916666666666664,2.576785714285714,1373.0,1950.0,3323
